,Question,Equation,Combined,Answer
272,A mailman has to give w pieces of junk mail to each house in each of the x blocks. If there are y houses in each block How many pieces of junk mail should he give in each block?,( w * y ),A mailman has to give 4 pieces of junk mail to each house in each of the 81 blocks. If there are 12 houses in each block How many pieces of junk mail should he give in each block?,48
273,The ring toss game at the carnival made w dollars in the first x days and y dollars in the remaining z days. How much did they make per day in the remaining z days at the carnival?,( y / z ),The ring toss game at the carnival made 325 dollars in the first 154 days and 114 dollars in the remaining 57 days. How much did they make per day in the remaining 57 days at the carnival?,2
274,Brenda's mother made cookies for w guests but x guests did not come. If she prepared y cookies and each guest had the same number of cookies How many did each of them have?,( y / ( w - x ) ),Brenda's mother made cookies for 10 guests but 9 guests did not come. If she prepared 18 cookies and each guest had the same number of cookies How many did each of them have?,18
275,Mary is baking a cake. The recipe calls for w cups of sugar x cups of flour and y cups of salt. She already put in 2 cups of flour. How many more cups of flour than cups of salt does she need to add now?,( ( x - z ) - y ),Mary is baking a cake. The recipe calls for 9 cups of sugar 7 cups of flour and 4 cups of salt. She already put in 2 cups of flour. How many more cups of flour than cups of salt does she need to add now?,1
276,Baker made some cakes. He sold w of them. If he still has x cakes left How many cakes did baker make?,( w + x ),Baker made some cakes. He sold 145 of them. If he still has 72 cakes left How many cakes did baker make?,217
277,Jesse needs a carpet of size w square feet to cover her room. If her room is x feet wide What is the length of her room?,( w / x ),Jesse needs a carpet of size 10 square feet to cover her room. If her room is 2 feet wide What is the length of her room?,5
278,There are some bananas in Philip's banana collection. If the bananas are organized into w groups of size x How many bananas does he have in his collection?,( w * x ),There are some bananas in Philip's banana collection. If the bananas are organized into 140 groups of size 187 How many bananas does he have in his collection?,26180
279,Rebecca wants to split a collection of eggs into groups of w. Rebecca has x eggs y bananas and w marbles. How many groups will be created?,( x / w ),Rebecca wants to split a collection of eggs into groups of 6. Rebecca has 18 eggs 72 bananas and 66 marbles. How many groups will be created?,3
280,Jessie currently weighs w kilograms. After she started to go jogging everyday she lost x kilograms in the first week and y kilograms in the second week. How much did she weigh before starting to jog?,( ( w + x ) + y ),Jessie currently weighs 9 kilograms. After she started to go jogging everyday she lost 62 kilograms in the first week and 140 kilograms in the second week. How much did she weigh before starting to jog?,211
281,The school is planning a field trip. The school has w classrooms. There are x seats on each school bus. If there are a total of y students in the school How many buses are needed to take the trip?,( y / x ),The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school How many buses are needed to take the trip?,37
282,w campers went rowing and x campers went hiking in the morning. y campers went rowing in the afternoon. How many campers went rowing in all?,( w + y ),13 campers went rowing and 59 campers went hiking in the morning. 21 campers went rowing in the afternoon. How many campers went rowing in all?,34
283,Jerry had w action figures on a shelf in his room. Later he added x more action figures to the shelf. If he also has y books on the shelf How many more action figures than books were on his shelf?,( ( w + x ) - y ),Jerry had 9 action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If he also has 10 books on the shelf How many more action figures than books were on his shelf?,6
284,Josh had w marbles in his collection. He found x marbles ones while he lost y marbles. How many marbles does he have now?,( ( w - y ) + x ),Josh had 22 marbles in his collection. He found 13 marbles ones while he lost 5 marbles. How many marbles does he have now?,30
285,For the walls of the house he would use w large planks of wood and x small planks. If large planks together need y pieces of nails to be secured and small planks together need z nails. How many nails does John need for the house wall?,( y + z ),For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need 15 pieces of nails to be secured and small planks together need 5 nails. How many nails does John need for the house wall?,20
286,Paul got a box of w crayons for his birthday. During the school year he gave x crayons to his friends while he lost y crayons. How many more crayons did he give to his friends than those he lost?,( x - y ),Paul got a box of 589 crayons for his birthday. During the school year he gave 571 crayons to his friends while he lost 161 crayons. How many more crayons did he give to his friends than those he lost?,410
287,"Jack received w emails in the morning, x emails in the afternoon and y emails in the evening. How many more emails did Jack receive in the morning than in the evening?",( w - y ),"Jack received 9 emails in the morning, 10 emails in the afternoon and 7 emails in the evening. How many more emails did Jack receive in the morning than in the evening?",2
288,Jack received w emails in the morning and x emails in the afternoon. How many more emails did Jack receive in the afternoon than in the morning?,( x - w ),Jack received 6 emails in the morning and 8 emails in the afternoon. How many more emails did Jack receive in the afternoon than in the morning?,2
289,"After eating a hearty meal they went to see the Buckingham palace. There were w paintings in the Buckingham palace. There, Rachel learned that x visitors came to the Buckingham palace that day. If there were y visitors the previous day How many visited the Buckingham palace within z days?",( x + y ),"After eating a hearty meal they went to see the Buckingham palace. There were 71 paintings in the Buckingham palace. There, Rachel learned that 557 visitors came to the Buckingham palace that day. If there were 188 visitors the previous day How many visited the Buckingham palace within 57 days?",745
290,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked w chocolate chip cookies and x raisin cookies yesterday. And she baked y raisin cookies and z chocolate chip cookies this morning. How many more chocolate chip cookies did Helen bake yesterday compared to today?,( w - z ),Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 197 chocolate chip cookies and 46 raisin cookies yesterday. And she baked 75 raisin cookies and 66 chocolate chip cookies this morning. How many more chocolate chip cookies did Helen bake yesterday compared to today?,131
291,Jake has w fewer peaches than Steven who has x more peaches than Jill. Steven has y peaches. How many peaches does Jill have?,( y - x ),Jake has 18 fewer peaches than Steven who has 13 more peaches than Jill. Steven has 19 peaches. How many peaches does Jill have?,6
292,Lucy went to the grocery store. She bought w packs of cookie and some packs of cake. In total she had x packs of grocery How many packs of cake did she buy in all?,( x - w ),Lucy went to the grocery store. She bought 23 packs of cookie and some packs of cake. In total she had 27 packs of grocery How many packs of cake did she buy in all?,4
293,Every day Ryan spends w hours on learning english x hours on learning chinese and y hours on learning spanish. How many more hours does he spend on learning english than he does on learning chinese?,( w - x ),Every day Ryan spends 6 hours on learning english 3 hours on learning chinese and 58 hours on learning spanish. How many more hours does he spend on learning english than he does on learning chinese?,3
294,A book has w chapters. The first chapter is x pages long. The second chapter is y pages long. How many more pages does the first chapter have than the second chapter?,( x - y ),A book has 2 chapters. The first chapter is 48 pages long. The second chapter is 11 pages long. How many more pages does the first chapter have than the second chapter?,37
295,"w green peaches, x yellow peaches and y red peaches are in the basket. How many more green peaches than red peaches are in the basket?",( w - y ),"6 green peaches, 60 yellow peaches and 2 red peaches are in the basket. How many more green peaches than red peaches are in the basket?",4
296,Debby drinks w bottles a day. If she bought a total of x water bottles How many days would they last her?,( x / w ),Debby drinks 6 bottles a day. If she bought a total of 12 water bottles How many days would they last her?,2
297,There were w parents in the program and x people in total. How many pupils were present in the program?,( x - w ),There were 22 parents in the program and 676 people in total. How many pupils were present in the program?,654
298,"Julia played tag with w kids on monday, x kids on tuesday and 2 kids on wednesday. How many kids did she play with altogether?",( ( w + x ) + y ),"Julia played tag with 17 kids on monday, 15 kids on tuesday and 2 kids on wednesday. How many kids did she play with altogether?",34
299,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The frog jumped x inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. How far did the mouse jump?",( ( w + x ) + y ),"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 25 inches. The frog jumped 18 inches farther than the grasshopper and the mouse jumped 2 inches farther than the frog. How far did the mouse jump?",45
300,Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of w g of colors to paint them. If the feathers require x g of wax and right now he just needs y g How many grams of wax does he already have?,( x - y ),Next on his checklist is wax to stick the feathers together and colors to paint them. He needs a total of 49 g of colors to paint them. If the feathers require 288 g of wax and right now he just needs 260 g How many grams of wax does he already have?,28
301,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in y cups of flour. How many more cups of flour than cups of sugar does she need to add now?,( ( w - y ) - x ),Mary is baking a cake. The recipe calls for 14 cups of flour and 6 cups of sugar. She already put in 5 cups of flour. How many more cups of flour than cups of sugar does she need to add now?,3
302,Jake has w more apples and x fewer peaches than Steven. Steven has y peaches and z apples. How many apples does Jake have?,( w + z ),Jake has 13 more apples and 17 fewer peaches than Steven. Steven has 8 peaches and 12 apples. How many apples does Jake have?,25
303,Jake has w fewer peaches than Steven who has x more peaches than Jill. Steven has y peaches. How many more peaches does Jill have than Jake?,( w - x ),Jake has 12 fewer peaches than Steven who has 11 more peaches than Jill. Steven has 4 peaches. How many more peaches does Jill have than Jake?,1
304,Last week Fred had w dollars and Jason had x dollars. Fred washed cars over the weekend and now has y dollars and Jason did not work. How much money do they have together now?,( x + y ),Last week Fred had 86 dollars and Jason had 5 dollars. Fred washed cars over the weekend and now has 9 dollars and Jason did not work. How much money do they have together now?,14
305,Jake has w fewer peaches and x more apples than Steven. Steven has y peaches and z apples. How many peaches does Jake have?,( y - w ),Jake has 12 fewer peaches and 79 more apples than Steven. Steven has 19 peaches and 14 apples. How many peaches does Jake have?,7
306,There are w different books and x different movies in the ' crazy silly school ' series. If you read y of the movies and watched z of the books How many more books than movies have you read?,( z - y ),There are 10 different books and 6 different movies in the ' crazy silly school ' series. If you read 14 of the movies and watched 19 of the books How many more books than movies have you read?,5
307,Debby bought w water bottles when they were on sale. If she drank x bottles a day for some days. If she has y bottles left How many days did she drink for?,( ( w - y ) / x ),Debby bought 301 water bottles when they were on sale. If she drank 144 bottles a day for some days. If she has 157 bottles left How many days did she drink for?,1
308,He also had w aquariums for saltwater animals and x aquariums for freshwater animals. Each aquarium has y animals in it. How many saltwater animals does Tyler have?,( w * y ),He also had 56 aquariums for saltwater animals and 10 aquariums for freshwater animals. Each aquarium has 39 animals in it. How many saltwater animals does Tyler have?,2184
309,Tiffany was collecting cans for recycling. On monday she had w bags of cans. She found x bags of cans on the next day and y bags of cans the day after that. How many bags did she have altogether?,( ( w + x ) + y ),Tiffany was collecting cans for recycling. On monday she had 10 bags of cans. She found 3 bags of cans on the next day and 7 bags of cans the day after that. How many bags did she have altogether?,20
310,The grasshopper and the frog had a jumping contest. The grasshopper jumped w inches and the frog jumped x inches. How much did they jump altogether?,( w + x ),The grasshopper and the frog had a jumping contest. The grasshopper jumped 31 inches and the frog jumped 35 inches. How much did they jump altogether?,66
311,There were w dollars in Olivia's wallet. She collected x more dollars from an atm. After she visited a supermarket there were y dollars left. How much did she spend?,( ( w + x ) - y ),There were 100 dollars in Olivia's wallet. She collected 148 more dollars from an atm. After she visited a supermarket there were 159 dollars left. How much did she spend?,89
312,A waiter had w customers. After some left he still had x customers. How many more customers left than those that stayed behind?,( ( w - x ) - x),A waiter had 11 customers. After some left he still had 3 customers. How many more customers left than those that stayed behind?,5
313,Katie had w ds games and her friends had x games. How many more games does Katie have than her friends?,( w - x ),Katie had 81 ds games and her friends had 59 games. How many more games does Katie have than her friends?,22
314,Frank put some pieces of candy equally into w bags. If he had x pieces of candy How many pieces of candy are in each bag?,( x / w ),Frank put some pieces of candy equally into 2 bags. If he had 16 pieces of candy How many pieces of candy are in each bag?,8
315,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by w of the pickers that they fill x drums of grapes in y days. How many drums of grapes would be filled in each day?",( x / y ),"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 266 of the pickers that they fill 90 drums of grapes in 5 days. How many drums of grapes would be filled in each day?",18
316,Julia played tag with w kids on tuesday. She had played tag with x kids on monday. How many more kids did she play with on monday than on tuesday?,( x - w ),Julia played tag with 5 kids on tuesday. She had played tag with 6 kids on monday. How many more kids did she play with on monday than on tuesday?,1
317,Julia played tag with a total of w kids. She played with x kids on monday and yet with some more kids on tuesday. How many kids did she play with on tuesday?,( w - x ),Julia played tag with a total of 18 kids. She played with 4 kids on monday and yet with some more kids on tuesday. How many kids did she play with on tuesday?,14
318,Jerry had w books and x action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more action figures than books were on his shelf?,( ( x + y ) - w ),Jerry had 3 books and 4 action figures on a shelf in his room. Later he added 2 more action figures to the shelf. How many more action figures than books were on his shelf?,3
319,There are w houses on a block. If a mailman has to give x pieces of junk mail to each block How many pieces of junk mail should he give in each house?,( x / w ),There are 6 houses on a block. If a mailman has to give 24 pieces of junk mail to each block How many pieces of junk mail should he give in each house?,4
320,Dave had w apps and x files on his phone. After deleting some apps and files he had y apps and z files left. How many more files than apps does he have left on the phone?,( z - y ),Dave had 19 apps and 18 files on his phone. After deleting some apps and files he had 6 apps and 15 files left. How many more files than apps does he have left on the phone?,9
321,Baker made w cakes. He bought x new cakes and sold y cakes. How many more cakes did baker buy than those he sold?,( x - y ),Baker made 99 cakes. He bought 167 new cakes and sold 89 cakes. How many more cakes did baker buy than those he sold?,78
322,w birds and x storks were sitting on the fence. y more storks came to join them. How many birds and storks are sitting on the fence?,( ( w + x ) + y ),3 birds and 4 storks were sitting on the fence. 6 more storks came to join them. How many birds and storks are sitting on the fence?,13
323,David did w push-ups in gym class today. David did x more push-ups than Zachary. How many push-ups did Zachary do?,( w - x ),David did 44 push-ups in gym class today. David did 9 more push-ups than Zachary. How many push-ups did Zachary do?,35
324,Edward spent $ w to buy books and $ x to buy pens. Now he has $ y. How much did Edward have before he spent his money?,( ( w + x ) + y ),Edward spent $ 6 to buy books and $ 16 to buy pens. Now he has $ 19. How much did Edward have before he spent his money?,41
325,Bryan took a look at his books as well. Each bookshelf contains w books. If he has a total of x books How many bookshelves does he have?,( x / w ),Bryan took a look at his books as well. Each bookshelf contains 2 books. If he has a total of 38 books How many bookshelves does he have?,19
326,There were w roses in the vase. Jessica cut some more roses from her flower garden which had a total of x roses. There are now y roses in the vase. How many roses did she cut?,( y - w ),There were 7 roses in the vase. Jessica cut some more roses from her flower garden which had a total of 59 roses. There are now 20 roses in the vase. How many roses did she cut?,13
327,Luke played a trivia game and gained w points in each round of a game. If he scored x points in the trivia game How many rounds did he play?,( x / w ),Luke played a trivia game and gained 3 points in each round of a game. If he scored 78 points in the trivia game How many rounds did he play?,26
328,Baker made w cakes. He sold x of them and bought y new cakes. How many more cakes did baker buy than those he sold?,( y - x ),Baker made 13 cakes. He sold 91 of them and bought 154 new cakes. How many more cakes did baker buy than those he sold?,63
329,He then went to see the oranges being harvested. He found out that they harvest w sacks of unripe oranges and x sacks of ripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?,( w - x ),He then went to see the oranges being harvested. He found out that they harvest 71 sacks of unripe oranges and 60 sacks of ripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?,11
330,"At the zoo, a cage had snakes and alligators. The total number of animals in the cage was w. If x snakes and y alligators were hiding How many animals were not hiding in all?",( ( w - x ) - y ),"At the zoo, a cage had snakes and alligators. The total number of animals in the cage was 79. If 24 snakes and 51 alligators were hiding How many animals were not hiding in all?",4
331,Danny has w bottle caps in his collection. He found some more bottle caps at the park. If he has x bottle caps now How many bottle caps did he find at the park?,( x - w ),Danny has 21 bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now How many bottle caps did he find at the park?,32
332,Frank was reading through his favorite book. The book had w chapters each with x pages. It took frank y days to finish the book. How many chapters did he read per day?,( y / w ),Frank was reading through his favorite book. The book had 2 chapters each with 405 pages. It took frank 664 days to finish the book. How many chapters did he read per day?,332
333,There were w roses in the vase. Jessica threw away x roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now y roses in the vase. How many roses did she cut?,( ( y + x ) - w ),There were 2 roses in the vase. Jessica threw away 4 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 23 roses in the vase. How many roses did she cut?,25
334,"Rachel had to complete w pages of math homework, x pages of reading homework and y more pages of biology homework. How many pages of reading and biology homework did she have to complete?",( x + y ),"Rachel had to complete 5 pages of math homework, 10 pages of reading homework and 6 more pages of biology homework. How many pages of reading and biology homework did she have to complete?",16
335,Jerry had w action figures and x books on a shelf in his room. Later he added y more books to the shelf. How many more action figures than books were on his shelf?,( w - ( x + y ) ),Jerry had 7 action figures and 2 books on a shelf in his room. Later he added 4 more books to the shelf. How many more action figures than books were on his shelf?,1
336,In a school there are w girls and x boys. How many more boys than girls does the school have?,( x - w ),In a school there are 34 girls and 841 boys. How many more boys than girls does the school have?,807
337,Bobby ate some pieces of candy. Then he ate w more. If he ate a total of x pieces of candy How many pieces of candy had he eaten at the start?,( x - w ),Bobby ate some pieces of candy. Then he ate 25 more. If he ate a total of 43 pieces of candy How many pieces of candy had he eaten at the start?,18
338,He then went to see the oranges being harvested. He found out that they harvest w sacks per day. How many days will it take to harvest x sacks of oranges?,( x / w ),He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?,3
339,w campers went rowing in the morning x campers went rowing in the afternoon and y campers went rowing in the evening. How many more campers went rowing in the morning than in the evening?,( w - y ),53 campers went rowing in the morning 48 campers went rowing in the afternoon and 49 campers went rowing in the evening. How many more campers went rowing in the morning than in the evening?,4
340,"Jack received w emails in the afternoon, x emails in the morning and y emails in the evening. How many more emails did Jack receive in the morning than in the afternoon?",( x - w ),"Jack received 3 emails in the afternoon, 5 emails in the morning and 16 emails in the evening. How many more emails did Jack receive in the morning than in the afternoon?",2
341,Dan has $ w. For a total of $ x he bought 2 candy bar each one costing the same amount of money. How much did each candy bar cost?,( x / y ),Dan has $ 3. For a total of $ 4 he bought 2 candy bar each one costing the same amount of money. How much did each candy bar cost?,2
342,Rachel had to complete w pages of math homework and x pages of reading homework. How many more pages of reading homework than math homework did she have?,( x - w ),Rachel had to complete 3 pages of math homework and 4 pages of reading homework. How many more pages of reading homework than math homework did she have?,1
343,A book has w chapters. The first chapter is x pages long. The second chapter is y pages long. How many more pages does the second chapter have than the first chapter?,( y - x ),A book has 2 chapters. The first chapter is 37 pages long. The second chapter is 80 pages long. How many more pages does the second chapter have than the first chapter?,43
344,There are w different movies and x different books in the ' crazy silly school ' series. If you read y of the books and watched z of the movies How many more movies do you still have to watch?,( w - z ),There are 8 different movies and 21 different books in the ' crazy silly school ' series. If you read 7 of the books and watched 4 of the movies How many more movies do you still have to watch?,4
345,Haley grew some trees in her backyard. After a typhoon w died. If x trees were left How many trees did she grow?,( w + x ),Haley grew some trees in her backyard. After a typhoon 5 died. If 12 trees were left How many trees did she grow?,17
346,The Razorback shop makes $ w dollars off each t-shirt and $ x off each jersey. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much more does a t-shirt cost than a jersey?,( w - x ),The Razorback shop makes $ 192 dollars off each t-shirt and $ 34 off each jersey. During the Arkansas and Texas tech game they sold 157 t-shirts and 19 jerseys. How much more does a t-shirt cost than a jersey?,158
347,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked w chocolate chip cookies and x raisin cookies yesterday. And she baked x raisin cookies and z chocolate chip cookies this morning. How many chocolate chip cookies did Helen bake?,( w + z ),Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 527 chocolate chip cookies and 86 raisin cookies yesterday. And she baked 86 raisin cookies and 554 chocolate chip cookies this morning. How many chocolate chip cookies did Helen bake?,1081
348,Marco and his dad went strawberry picking. Together they collected strawberries that weighed w pounds. On the way back Marco ' dad found x more pounds of strawberries. Marco's strawberries now weighed y pounds. How much did his dad's strawberries weigh now?,( ( w - y ) + x ),Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,16
349,"w red peaches, and some more green peaches are in the basket. If there are x more green peaches than red peaches in the basket How many green peaches are in the basket?",( w + x ),"3 red peaches, and some more green peaches are in the basket. If there are 10 more green peaches than red peaches in the basket How many green peaches are in the basket?",13
350,"After a typhoon, w trees in Haley's backyard died. If she had grown x trees initially How many more trees died in the typhoon than those that survived?",( w - ( x - w) ),"After a typhoon, 13 trees in Haley's backyard died. If she had grown 3 trees initially How many more trees died in the typhoon than those that survived?",23
351,Josh had w marbles in his collection. He lost some marbles. If he has x marbles now How many marbles did he lose?,( w - x ),Josh had 9 marbles in his collection. He lost some marbles. If he has 4 marbles now How many marbles did he lose?,5
352,They decided to hold the party in their backyard. They have w chairs for each set of table. If they have x sets of tables How many more chairs than tables do they have?,( ( x * w ) - x),They decided to hold the party in their backyard. They have 14 chairs for each set of table. If they have 9 sets of tables How many more chairs than tables do they have?,117
353,He then went to see the oranges being harvested. He found out that they harvest w sacks per day. How many oranges do they harvest per day if each sack contains x oranges?,( w * x ),He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day. How many oranges do they harvest per day if each sack contains 28 oranges?,1848
354,At the arcade Dave had won some tickets. He used w tickets to buy some toys. If he still has x tickets left How many tickets did Dave win at the arcade?,( w + x ),At the arcade Dave had won some tickets. He used 12 tickets to buy some toys. If he still has 14 tickets left How many tickets did Dave win at the arcade?,26
355,Adam could fit w action figures on each shelf in his room. His room has could hold x action figures. How many total shelves did his room have?,( x * w ),Adam could fit 10 action figures on each shelf in his room. His room has could hold 8 action figures. How many total shelves did his room have?,80
356,Marco and his dad went strawberry picking. Together they collected strawberries that weighed w pounds. On the way back Marco lost x pounds of strawberries. Marco's strawberries now weighed y pounds. How much did his dad's strawberries weigh?,( w - ( y + x ) ),Marco and his dad went strawberry picking. Together they collected strawberries that weighed 24 pounds. On the way back Marco lost 9 pounds of strawberries. Marco's strawberries now weighed 3 pounds. How much did his dad's strawberries weigh?,12
357,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in 2 cups of sugar. How many more cups of sugar does she need to add?,( x - y ),Mary is baking a cake. The recipe calls for 12 cups of flour and 13 cups of sugar. She already put in 2 cups of sugar. How many more cups of sugar does she need to add?,11
358,Winter is almost here and most animals are migrating to warmer countries. There are w bird families living near the mountain. If x bird families flew away to africa and y bird families flew away to asia How many more bird families flew away to asia than those that flew away to africa?,( y - x ),Winter is almost here and most animals are migrating to warmer countries. There are 38 bird families living near the mountain. If 47 bird families flew away to africa and 94 bird families flew away to asia How many more bird families flew away to asia than those that flew away to africa?,47
359,Jake has w fewer peaches than Steven and x more peaches than Jill. Steven has y peaches. How many more peaches does Steven have than Jill?,( w + x ),Jake has 9 fewer peaches than Steven and 18 more peaches than Jill. Steven has 16 peaches. How many more peaches does Steven have than Jill?,27
360,Zachary did w push-ups and David did x push-ups in gym class today. How many more push-ups did Zachary do than David?,( w - x ),Zachary did 51 push-ups and David did 44 push-ups in gym class today. How many more push-ups did Zachary do than David?,7
361,w people can ride the Ferris wheel in paradise park at the same time. If the Ferris wheel has x seats How many people can each seat hold?,( w / x ),16 people can ride the Ferris wheel in paradise park at the same time. If the Ferris wheel has 4 seats How many people can each seat hold?,4
362,Mary is baking a cake. The recipe calls for w cups of flour x cups of sugar and y cups of salt. She already put in z cups of flour. How many more cups of sugar than cups of salt does she need to add now?,( x - y ),Mary is baking a cake. The recipe calls for 6 cups of flour 8 cups of sugar and 7 cups of salt. She already put in 5 cups of flour. How many more cups of sugar than cups of salt does she need to add now?,1
363,Paige raised w goldfish and x catfish in the pond but stray cats loved eating them. Now she has 2 left. How many goldfish disappeared?,( w - y ),Paige raised 16 goldfish and 71 catfish in the pond but stray cats loved eating them. Now she has 2 left. How many goldfish disappeared?,14
364,Rachel picked w ripe apples from her tree. Now the tree has x apples still on it. If y of those are ripe and the rest are unripe How many unripe apples does the tree have now?,( x - y ),Rachel picked 7 ripe apples from her tree. Now the tree has 5 apples still on it. If 3 of those are ripe and the rest are unripe How many unripe apples does the tree have now?,2
365,Zachary did w push-ups in gym class today. David did x more push-ups than zachary. How many push-ups did Zachary and David do altogether?,( ( w + w) + x ),Zachary did 44 push-ups in gym class today. David did 58 more push-ups than zachary. How many push-ups did Zachary and David do altogether?,146
366,If Lewis earns a total of $ w during x weeks of harvest How much money does he earn each week?,( w / x ),If Lewis earns a total of $ 460 during 5 weeks of harvest How much money does he earn each week?,92
367,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding mashed potatoes x suggested adding bacon to the menu and y suggested adding tomatoes How many more students suggested bacon than those that suggested tomatoes?,( x - y ),Because of the decision Sofia asked the students to suggest specific types of food. If 228 students suggested adding mashed potatoes 337 suggested adding bacon to the menu and 23 suggested adding tomatoes How many more students suggested bacon than those that suggested tomatoes?,314
368,Edward spent $ w to buy books and $ x to buy pens. Now he has $ y. How much did Edward spend on books and pens?,( w + x ),Edward spent $ 4 to buy books and $ 3 to buy pens. Now he has $ 12. How much did Edward spend on books and pens?,7
369,Edward spent $ w. Then he received $ x from his friend. Now he has $ y. How much did Edward have before he spent his money?,( ( w - x ) + y ),Edward spent $ 17. Then he received $ 10 from his friend. Now he has $ 7. How much did Edward have before he spent his money?,14
370,"Julia played tag with w kids on monday, x kids on tuesday and w kids on wednesday. How many more kids did she play with on monday than on tuesday?",( w - x ),"Julia played tag with 9 kids on monday, 7 kids on tuesday and 96 kids on wednesday. How many more kids did she play with on monday than on tuesday?",2
371,In a school there are w more girls than boys. If there are x girls How many boys are there in that school?,( x - w ),In a school there are 402 more girls than boys. If there are 739 girls How many boys are there in that school?,337
372,For Gwen's birthday she received w dollars from her mom. Her dad gave her x more dollars. If she spent y dollars. How much money did she still have?,( ( w + x ) - y ),For Gwen's birthday she received 2 dollars from her mom. Her dad gave her 4 more dollars. If she spent 3 dollars. How much money did she still have?,3
373,"w red peaches, x yellow peaches and y green peaches are in the basket. How many red and green peaches are in the basket?",( w + y ),"6 red peaches, 90 yellow peaches and 16 green peaches are in the basket. How many red and green peaches are in the basket?",22
374,Randy has w blocks. He uses x blocks to build a tower and y blocks to build a house. How many more blocks did he use to build the tower than he did to build the house?,( x - y ),Randy has 37 blocks. He uses 33 blocks to build a tower and 13 blocks to build a house. How many more blocks did he use to build the tower than he did to build the house?,20
375,The Razorback shop makes $ w dollars off each jersey and $ x off each t-shirt. During the Arkansas and Texas tech game they sold y t-shirts and 2 jerseys. How much money did they make from selling the jerseys?,( w * z ),The Razorback shop makes $ 76 dollars off each jersey and $ 204 off each t-shirt. During the Arkansas and Texas tech game they sold 158 t-shirts and 2 jerseys. How much money did they make from selling the jerseys?,152
376,Baker made w cakes. He bought x new cakes and sold y cakes. How many more cakes did baker sell than those he bought?,( y - x ),Baker made 8 cakes. He bought 139 new cakes and sold 145 cakes. How many more cakes did baker sell than those he bought?,6
377,Jack received w emails and x letters in the morning. He then received 2 emails and z letters in the afternoon. How many more letters did Jack receive in the morning than in the afternoon?,( x - z ),Jack received 6 emails and 8 letters in the morning. He then received 2 emails and 7 letters in the afternoon. How many more letters did Jack receive in the morning than in the afternoon?,1
378,Jake has w fewer peaches and x more apples than Steven. Steven has y peaches and z apples. How many more apples than peaches does Steven have?,( z - y ),Jake has 3 fewer peaches and 10 more apples than Steven. Steven has 12 peaches and 15 apples. How many more apples than peaches does Steven have?,3
379,Rachel had to complete w pages of math homework and x pages of reading homework. How many more pages of math homework than reading homework did she have?,( w - x ),Rachel had to complete 5 pages of math homework and 2 pages of reading homework. How many more pages of math homework than reading homework did she have?,3
380,"Frank was reading through his favorite book. The book had w chapters, each with the same number of pages. It has a total of x pages. It took Frank y days to finish the book. How many pages did he read per day?",( x / y ),"Frank was reading through his favorite book. The book had 41 chapters, each with the same number of pages. It has a total of 450 pages. It took Frank 30 days to finish the book. How many pages did he read per day?",15
381,Jesse's room is w feet wide and x feet long. How much longer is her room than it is wide?,( x - w ),Jesse's room is 19 feet wide and 20 feet long. How much longer is her room than it is wide?,1
382,Frank was reading through some books. Each book had w pages and it took Frank x days to finish each book. How many pages did he read per day?,( w / x ),Frank was reading through some books. Each book had 249 pages and it took Frank 3 days to finish each book. How many pages did he read per day?,83
383,Paul got a box of w crayons and x erasers for his birthday. At the end of the school year he only had y crayons left while not having lost a single eraser. How many more erasers than crayons did he have left?,( x - y ),Paul got a box of 601 crayons and 406 erasers for his birthday. At the end of the school year he only had 336 crayons left while not having lost a single eraser. How many more erasers than crayons did he have left?,70
